Data File Name,Scale Name,Column Name,transform,Reverse,min,max,Neg_Urgency,Premeditation,Perseverance,Sensation_Seeking,Pos_Urgency
TDS1_Session_1_Post,UPPS-P,UPPSP_1,0,0,,,0,1,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_2,0,1,1,4,1,0,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_3,0,1,1,4,0,0,0,1,0
TDS1_Session_1_Post,UPPS-P,UPPSP_4,0,0,,,0,0,1,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_5,0,1,1,4,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_6,0,0,,,0,1,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_7,0,1,1,4,1,0,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_8,0,1,1,4,0,0,0,1,0
TDS1_Session_1_Post,UPPS-P,UPPSP_9,0,1,1,4,0,0,1,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_10,0,1,1,4,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_11,0,0,,,0,1,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_12,0,1,1,4,1,0,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_13,0,1,1,4,0,0,0,1,0
TDS1_Session_1_Post,UPPS-P,UPPSP_14,0,0,,,0,0,1,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_15,0,1,1,4,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_16,0,0,,,0,1,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_17,0,1,1,4,1,0,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_18,0,1,1,4,0,0,0,1,0
TDS1_Session_1_Post,UPPS-P,UPPSP_19,0,0,,,0,0,1,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_20,0,1,1,4,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_21,0,0,,,0,1,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_22,0,1,1,4,1,0,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_23,0,1,1,4,0,0,0,1,0
TDS1_Session_1_Post,UPPS-P,UPPSP_24,0,0,,,0,0,1,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_25,0,1,1,4,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_26,0,1,1,4,0,0,0,1,0
TDS1_Session_1_Post,UPPS-P,UPPSP_27,0,0,,,0,0,1,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_28,0,0,,,0,1,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_29,0,1,1,4,1,0,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_30,0,1,1,4,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_31,0,1,1,4,0,0,0,1,0
TDS1_Session_1_Post,UPPS-P,UPPSP_32,0,0,,,0,0,1,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_33,0,0,,,0,1,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_34,0,1,1,4,1,0,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_35,0,1,1,4,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_36,0,1,1,4,0,0,0,1,0
TDS1_Session_1_Post,UPPS-P,UPPSP_37,0,0,,,0,0,1,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_38,0,0,,,0,1,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_39,0,1,1,4,1,0,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_40,0,1,1,4,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_41,0,1,1,4,0,0,0,1,0
TDS1_Session_1_Post,UPPS-P,UPPSP_42,0,0,,,0,0,1,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_43,0,0,,,0,1,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_44,0,1,1,4,1,0,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_45,0,1,1,4,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_46,0,1,1,4,0,0,0,1,0
TDS1_Session_1_Post,UPPS-P,UPPSP_47,0,1,1,4,0,0,1,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_48,0,0,,,0,1,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_49,0,0,,,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_50,0,1,1,4,1,0,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_51,0,1,1,4,0,0,0,1,0
TDS1_Session_1_Post,UPPS-P,UPPSP_52,0,1,1,4,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_53,0,1,1,4,1,0,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_54,0,0,,,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_55,0,1,1,4,0,1,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_56,0,1,1,4,0,0,0,1,0
TDS1_Session_1_Post,UPPS-P,UPPSP_57,0,1,1,4,0,0,0,0,1
TDS1_Session_1_Post,UPPS-P,UPPSP_58,0,1,1,4,1,0,0,0,0
TDS1_Session_1_Post,UPPS-P,UPPSP_59,0,1,1,4,0,0,0,0,1
