Data File Name,Scale Name,Column Name,Answer,Response,Score
TDS1_Session_3_child,YRBS,YRBS_2,0 days,0,0
TDS1_Session_3_child,YRBS,YRBS_2,1 day,1,1
TDS1_Session_3_child,YRBS,YRBS_2,2 or 3 days,2,1
TDS1_Session_3_child,YRBS,YRBS_2,4 or 5 days,3,1
TDS1_Session_3_child,YRBS,YRBS_2,6 or more days,4,1
TDS1_Session_3_child,YRBS,YRBS_4,0 times,0,0
TDS1_Session_3_child,YRBS,YRBS_4,1 time,1,1
TDS1_Session_3_child,YRBS,YRBS_4,2 or 3 times,2,1
TDS1_Session_3_child,YRBS,YRBS_4,4 or 5 times,3,1
TDS1_Session_3_child,YRBS,YRBS_4,6 or 7 times,4,1
TDS1_Session_3_child,YRBS,YRBS_4,8 or 9 times,5,1
TDS1_Session_3_child,YRBS,YRBS_4,10 or 11 times,6,1
TDS1_Session_3_child,YRBS,YRBS_4,12 or more times,7,1
TDS1_Session_3_child,YRBS,YRBS_10,I have never used a tobacco product,0,0
TDS1_Session_3_child,YRBS,YRBS_10,8 or younger,8,1
TDS1_Session_3_child,YRBS,YRBS_10,9,9,1
TDS1_Session_3_child,YRBS,YRBS_10,10,10,1
TDS1_Session_3_child,YRBS,YRBS_10,11,11,1
TDS1_Session_3_child,YRBS,YRBS_10,12,12,1
TDS1_Session_3_child,YRBS,YRBS_10,13,13,1
TDS1_Session_3_child,YRBS,YRBS_10,14,14,0
TDS1_Session_3_child,YRBS,YRBS_10,15,15,0
TDS1_Session_3_child,YRBS,YRBS_10,16,16,0
TDS1_Session_3_child,YRBS,YRBS_10,17,17,0
TDS1_Session_3_child,YRBS,YRBS_10,18 or older,12,0
TDS1_Session_3_child,YRBS,YRBS_11,0 days,0,0
TDS1_Session_3_child,YRBS,YRBS_11,1 or 2 days,1,1
TDS1_Session_3_child,YRBS,YRBS_11,3 to 5 days,2,1
TDS1_Session_3_child,YRBS,YRBS_11,6 to 9 days,3,1
TDS1_Session_3_child,YRBS,YRBS_11,10 to 19 days,4,1
TDS1_Session_3_child,YRBS,YRBS_11,20 to 29 days,5,1
TDS1_Session_3_child,YRBS,YRBS_11,All 30 days,6,1
TDS1_Session_3_child,YRBS,YRBS_13,I have never had a drink of alcohol other than a few sips,0,0
TDS1_Session_3_child,YRBS,YRBS_13,8 or younger,8,1
TDS1_Session_3_child,YRBS,YRBS_13,9,9,1
TDS1_Session_3_child,YRBS,YRBS_13,10,10,1
TDS1_Session_3_child,YRBS,YRBS_13,11,11,1
TDS1_Session_3_child,YRBS,YRBS_13,12,12,1
TDS1_Session_3_child,YRBS,YRBS_13,13,13,1
TDS1_Session_3_child,YRBS,YRBS_13,14,14,0
