Data File Name,Scale Name,Column Name,transform,reverse,min,max,YRBS_aggr,YRBS_bullied,YRBS_cigs,YRBS_risky_drinking,YRBS_drove_drinking,YRBS_risky_car,YRBS_marijuana,YRBS_other_drugs,YRBS_overreporter,YRBS_risky_sex,YRBS_composite_score
TDS1_Session_3_child,YRBS,YRBS_Grade,,,,,,,,,,,,,,,
TDS1_Session_3_child,YRBS,YRBS_Gender,,,,,,,,,,,,,,,
TDS1_Session_3_child,YRBS,YRBS_1,,,,,1,,,,,,,,,,1
TDS1_Session_3_child,YRBS,YRBS_2,,,,,1,,,,,,,,,,1
TDS1_Session_3_child,YRBS,YRBS_3,,,,,1,,,,,,,,,,1
TDS1_Session_3_child,YRBS,YRBS_4,,,,,1,,,,,,,,,,1
TDS1_Session_3_child,YRBS,YRBS_5,,,,,,1,,,,,,,,,
TDS1_Session_3_child,YRBS,YRBS_6,,,,,,1,,,,,,,,,
TDS1_Session_3_child,YRBS,YRBS_7,,,,,,1,,,,,,,,,
TDS1_Session_3_child,YRBS,YRBS_8,,,,,,1,,,,,,,,,
TDS1_Session_3_child,YRBS,YRBS_9,,,,,,,1,,,,,,,,1
TDS1_Session_3_child,YRBS,YRBS_10,,,,,,,1,,,,,,,,1
TDS1_Session_3_child,YRBS,YRBS_11,,,,,,,1,,,,,,,,1
TDS1_Session_3_child,YRBS,YRBS_12,,,,,,,,1,,,,,,,1
TDS1_Session_3_child,YRBS,YRBS_13,,,,,,,,1,,,,,,,1
TDS1_Session_3_child,YRBS,YRBS_14,,,,,,,,1,,,,,,,1
TDS1_Session_3_child,YRBS,YRBS_15,,,,,,,,1,,,,,,,1
TDS1_Session_3_child,YRBS,YRBS_16,,,,,,,,,1,,,,,,
TDS1_Session_3_child,YRBS,YRBS_17,,,,,,,,,1,,,,,,
TDS1_Session_3_child,YRBS,YRBS_18,,,,,,,,,1,,,,,,
TDS1_Session_3_child,YRBS,YRBS_19,,,,,,,,,,1,,,,,
TDS1_Session_3_child,YRBS,YRBS_20,,,,,,,,,,,1,,,,1
TDS1_Session_3_child,YRBS,YRBS_21,,,,,,,,,,,1,,,,1
TDS1_Session_3_child,YRBS,YRBS_22,,,,,,,,,,,1,,,,1
TDS1_Session_3_child,YRBS,YRBS_23,,,,,,,,,,,,1,,,1
TDS1_Session_3_child,YRBS,YRBS_24,,,,,,,,,,,,1,,,1
TDS1_Session_3_child,YRBS,YRBS_25,,,,,,,,,,,,1,,,1
TDS1_Session_3_child,YRBS,YRBS_26,,,,,,,,,,,,1,,,1
TDS1_Session_3_child,YRBS,YRBS_27,,,,,,,,,,,,1,,,1
TDS1_Session_3_child,YRBS,YRBS_28,,,,,,,,,,,,1,,,1
TDS1_Session_3_child,YRBS,YRBS_29,,,,,,,,,,,,1,,,1
TDS1_Session_3_child,YRBS,YRBS_30,,,,,,,,,,,,,,,
TDS1_Session_3_child,YRBS,YRBS_31,,,,,,,,,,,,,1,,
