Data File Name,Scale Name,Column Name,transform,reverse,min,max,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness_To_Experience,BFI-10 Total
YADS-V,BFI-10,BFI_1,,1,1,5,1,0,0,0,0,1
YADS-V,BFI-10,BFI_2,,0,,,0,1,0,0,0,1
YADS-V,BFI-10,BFI_3,,1,1,5,0,0,1,0,0,1
YADS-V,BFI-10,BFI_4,,1,1,5,0,0,0,1,0,1
YADS-V,BFI-10,BFI_5,,1,1,5,0,0,0,0,1,1
YADS-V,BFI-10,BFI_6,,0,,,1,0,0,0,0,1
YADS-V,BFI-10,BFI_7,,1,1,5,0,1,0,0,0,1
YADS-V,BFI-10,BFI_8,,0,,,0,0,1,0,0,1
YADS-V,BFI-10,BFI_9,,0,,,0,0,0,1,0,1
YADS-V,BFI-10,BFI_10,,0,,,0,0,0,0,1,1
