Data File Name,Scale Name,Column Name,Transform,Reverse,Min,Max,Dominance_score,Prestige_score
YADS-V,Prestige and Dominance,Prestige and Dominance_1,,,,,,1
YADS-V,Prestige and Dominance,Prestige and Dominance_2,,1,1,7,,1
YADS-V,Prestige and Dominance,Prestige and Dominance_3,,,,,1,
YADS-V,Prestige and Dominance,Prestige and Dominance_4,,,,,,1
YADS-V,Prestige and Dominance,Prestige and Dominance_5,,,,,1,
YADS-V,Prestige and Dominance,Prestige and Dominance_6,,1,1,7,,1
YADS-V,Prestige and Dominance,Prestige and Dominance_7,,,,,1,
YADS-V,Prestige and Dominance,Prestige and Dominance_8,,,,,,1
YADS-V,Prestige and Dominance,Prestige and Dominance_9,,,,,1,
YADS-V,Prestige and Dominance,Prestige and Dominance_10,,1,1,7,1,
YADS-V,Prestige and Dominance,Prestige and Dominance_11,,,,,1,
YADS-V,Prestige and Dominance,Prestige and Dominance_12,,1,1,7,1,
YADS-V,Prestige and Dominance,Prestige and Dominance_13,,,,,,1
YADS-V,Prestige and Dominance,Prestige and Dominance_14,,,,,,1
YADS-V,Prestige and Dominance,Prestige and Dominance_15,,,,,,1
YADS-V,Prestige and Dominance,Prestige and Dominance_16,,,,,1,
YADS-V,Prestige and Dominance,Prestige and Dominance_17,,1,1,7,,1
