Data File Name,Scale Name,Column Name,transform,reverse,min,max,RPI_1_Composite,RPI_2_Composite,RPI_3_Composite,RPI_4_Composite,RPI_5_Composite,RPI_6_Composite,RPI_7_Composite,RPI_8_Composite,RPI_9_Composite,RPI_10_Composite
YADS-V,RPI,RPI_1A,0,,,,sum,0,0,0,0,0,0,0,0,0
YADS-V,RPI,RPI_1B,0,,,,sum,0,0,0,0,0,0,0,0,0
YADS-V,RPI,RPI_2A,0,,,,0,sum,0,0,0,0,0,0,0,0
YADS-V,RPI,RPI_2B,0,,,,0,sum,0,0,0,0,0,0,0,0
YADS-V,RPI,RPI_3A,0,,,,0,0,sum,0,0,0,0,0,0,0
YADS-V,RPI,RPI_3B,0,,,,0,0,sum,0,0,0,0,0,0,0
YADS-V,RPI,RPI_4A,0,,,,0,0,0,sum,0,0,0,0,0,0
YADS-V,RPI,RPI_4B,0,,,,0,0,0,sum,0,0,0,0,0,0
YADS-V,RPI,RPI_5A,0,,,,0,0,0,0,sum,0,0,0,0,0
YADS-V,RPI,RPI_5B,0,,,,0,0,0,0,sum,0,0,0,0,0
YADS-V,RPI,RPI_6A,0,,,,0,0,0,0,0,sum,0,0,0,0
YADS-V,RPI,RPI_6B,0,,,,0,0,0,0,0,sum,0,0,0,0
YADS-V,RPI,RPI_7A,0,,,,0,0,0,0,0,0,sum,0,0,0
YADS-V,RPI,RPI_7B,0,,,,0,0,0,0,0,0,sum,0,0,0
YADS-V,RPI,RPI_8A,0,,,,0,0,0,0,0,0,0,sum,0,0
YADS-V,RPI,RPI_8B,0,,,,0,0,0,0,0,0,0,sum,0,0
YADS-V,RPI,RPI_9A,0,,,,0,0,0,0,0,0,0,0,sum,0
YADS-V,RPI,RPI_9B,0,,,,0,0,0,0,0,0,0,0,sum,0
YADS-V,RPI,RPI_10A,0,,,,0,0,0,0,0,0,0,0,0,sum
YADS-V,RPI,RPI_10B,0,,,,0,0,0,0,0,0,0,0,0,sum
