Data File Name,Scale Name,Column Name,Answer,Response,Score
YADS-V,YRBS,YRBS_2,0 days,0,0
YADS-V,YRBS,YRBS_2,1 day,1,1
YADS-V,YRBS,YRBS_2,2 or 3 days,2,1
YADS-V,YRBS,YRBS_2,4 or 5 days,3,1
YADS-V,YRBS,YRBS_2,6 or more days,4,1
YADS-V,YRBS,YRBS_4,0 times,0,0
YADS-V,YRBS,YRBS_4,1 time,1,1
YADS-V,YRBS,YRBS_4,2 or 3 times,2,1
YADS-V,YRBS,YRBS_4,4 or 5 times,3,1
YADS-V,YRBS,YRBS_4,6 or 7 times,4,1
YADS-V,YRBS,YRBS_4,8 or 9 times,5,1
YADS-V,YRBS,YRBS_4,10 or 11 times,6,1
YADS-V,YRBS,YRBS_4,12 or more times,7,1
YADS-V,YRBS,YRBS_10,I have never used a tobacco product,0,0
YADS-V,YRBS,YRBS_10,8 or younger,8,1
YADS-V,YRBS,YRBS_10,9,9,1
YADS-V,YRBS,YRBS_10,10,10,1
YADS-V,YRBS,YRBS_10,11,11,1
YADS-V,YRBS,YRBS_10,12,12,1
YADS-V,YRBS,YRBS_10,13,13,1
YADS-V,YRBS,YRBS_10,14,14,0
YADS-V,YRBS,YRBS_10,15,15,0
YADS-V,YRBS,YRBS_10,16,16,0
YADS-V,YRBS,YRBS_10,17,17,0
YADS-V,YRBS,YRBS_10,18 or older,12,0
YADS-V,YRBS,YRBS_11,0 days,0,0
YADS-V,YRBS,YRBS_11,1 or 2 days,1,1
YADS-V,YRBS,YRBS_11,3 to 5 days,2,1
YADS-V,YRBS,YRBS_11,6 to 9 days,3,1
YADS-V,YRBS,YRBS_11,10 to 19 days,4,1
YADS-V,YRBS,YRBS_11,20 to 29 days,5,1
YADS-V,YRBS,YRBS_11,All 30 days,6,1
YADS-V,YRBS,YRBS_13,I have never had a drink of alcohol other than a few sips,0,0
YADS-V,YRBS,YRBS_13,8 or younger,8,1
YADS-V,YRBS,YRBS_13,9,9,1
YADS-V,YRBS,YRBS_13,10,10,1
YADS-V,YRBS,YRBS_13,11,11,1
YADS-V,YRBS,YRBS_13,12,12,1
YADS-V,YRBS,YRBS_13,13,13,1
YADS-V,YRBS,YRBS_13,14,14,0
YADS-V,YRBS,YRBS_13,15,15,0
YADS-V,YRBS,YRBS_13,16,16,0
YADS-V,YRBS,YRBS_13,17,17,0
YADS-V,YRBS,YRBS_13,18 or older,18,0
YADS-V,YRBS,YRBS_14,0 days,0,0
YADS-V,YRBS,YRBS_14,1 or 2 days,1,1
YADS-V,YRBS,YRBS_14,3 to 5 days,2,1
YADS-V,YRBS,YRBS_14,6 to 9 days,3,1
YADS-V,YRBS,YRBS_14,10 to 19 days,4,1
YADS-V,YRBS,YRBS_14,20 to 29 days,5,1
YADS-V,YRBS,YRBS_14,All 30 days,6,1
YADS-V,YRBS,YRBS_15,0 days,0,0
YADS-V,YRBS,YRBS_15,1 or 2 days,1,1
YADS-V,YRBS,YRBS_15,3 to 5 days,2,1
YADS-V,YRBS,YRBS_15,6 to 9 days,3,1
YADS-V,YRBS,YRBS_15,10 to 19 days,4,1
YADS-V,YRBS,YRBS_15,20 to 29 days,5,1
YADS-V,YRBS,YRBS_15,All 30 days,6,1
YADS-V,YRBS,YRBS_17,0 times,0,0
YADS-V,YRBS,YRBS_17,1 time,1,1
YADS-V,YRBS,YRBS_17,2 or 3 times,2,1
YADS-V,YRBS,YRBS_17,4 or 5 times,3,1
YADS-V,YRBS,YRBS_17,6 or more times,4,1
YADS-V,YRBS,YRBS_18,0 times,0,0
YADS-V,YRBS,YRBS_18,1 time,1,1
YADS-V,YRBS,YRBS_18,2 or 3 times,2,1
YADS-V,YRBS,YRBS_18,4 or 5 times,3,1
YADS-V,YRBS,YRBS_18,6 or more times,4,1
YADS-V,YRBS,YRBS_19,0 times,0,0
YADS-V,YRBS,YRBS_19,1 time,1,1
YADS-V,YRBS,YRBS_19,2 or 3 times,2,1
YADS-V,YRBS,YRBS_19,4 or 5 times,3,1
YADS-V,YRBS,YRBS_19,6 or more times,4,1
YADS-V,YRBS,YRBS_21,I have never tried marijuana,0,0
YADS-V,YRBS,YRBS_21,8 or younger,8,1
YADS-V,YRBS,YRBS_21,9,9,1
YADS-V,YRBS,YRBS_21,10,10,1
YADS-V,YRBS,YRBS_21,11,11,1
YADS-V,YRBS,YRBS_21,12,12,1
YADS-V,YRBS,YRBS_21,13,13,1
YADS-V,YRBS,YRBS_21,14,14,0
YADS-V,YRBS,YRBS_21,15,15,0
YADS-V,YRBS,YRBS_21,16,16,0
YADS-V,YRBS,YRBS_21,17,17,0
YADS-V,YRBS,YRBS_21,18 or older,18,0
YADS-V,YRBS,YRBS_22,0 days,0,0
YADS-V,YRBS,YRBS_22,1 or 2 days,1,1
YADS-V,YRBS,YRBS_22,3 to 5 days,2,1
YADS-V,YRBS,YRBS_22,6 to 9 days,3,1
YADS-V,YRBS,YRBS_22,10 to 19 days,4,1
YADS-V,YRBS,YRBS_22,20 to 29 days,5,1
YADS-V,YRBS,YRBS_22,All 30 days,6,1
YADS-V,YRBS,YRBS_32,8 or younger,8,1
YADS-V,YRBS,YRBS_32,9,9,1
YADS-V,YRBS,YRBS_32,10,10,1
YADS-V,YRBS,YRBS_32,11,11,1
YADS-V,YRBS,YRBS_32,12,12,1
YADS-V,YRBS,YRBS_32,13,13,0
YADS-V,YRBS,YRBS_32,14,14,0
YADS-V,YRBS,YRBS_32,15,15,0
YADS-V,YRBS,YRBS_32,16,16,0
YADS-V,YRBS,YRBS_32,17,17,0
YADS-V,YRBS,YRBS_32,18 or older,18,0
YADS-V,YRBS,YRBS_33,1 person,1,0
YADS-V,YRBS,YRBS_33,2 people,2,0
YADS-V,YRBS,YRBS_33,3 people,3,0
YADS-V,YRBS,YRBS_33,4 people,4,1
YADS-V,YRBS,YRBS_33,5 people,5,1
YADS-V,YRBS,YRBS_33,6 or more people,6,1
YADS-V,YRBS,YRBS_34,I have not had sexual intercourse in the past 3 months,0,0
YADS-V,YRBS,YRBS_34,1 person,1,0
YADS-V,YRBS,YRBS_34,2 people,2,0
YADS-V,YRBS,YRBS_34,3 people,3,0
YADS-V,YRBS,YRBS_34,4 people,4,1
YADS-V,YRBS,YRBS_34,5 people,5,1
YADS-V,YRBS,YRBS_34,6 or more people,6,1
