Data File Name,Scale Name,Column Name,transform,reverse,min,max,YRBS_aggr,YRBS_bullied,YRBS_cigs,YRBS_risky_drinking,YRBS_drove_drinking,YRBS_risky_car,YRBS_marijuana,YRBS_other_drugs,YRBS_overreporter,YRBS_risky_sex,YRBS_composite_score
YADS-V,YRBS,YRBS_Grade,,,,,,,,,,,,,,,
YADS-V,YRBS,YRBS_Gender,,,,,,,,,,,,,,,
YADS-V,YRBS,YRBS_1,,,,,1,,,,,,,,,,1
YADS-V,YRBS,YRBS_2,,,,,1,,,,,,,,,,1
YADS-V,YRBS,YRBS_3,,,,,1,,,,,,,,,,1
YADS-V,YRBS,YRBS_4,,,,,1,,,,,,,,,,1
YADS-V,YRBS,YRBS_5,,,,,,1,,,,,,,,,
YADS-V,YRBS,YRBS_6,,,,,,1,,,,,,,,,
YADS-V,YRBS,YRBS_7,,,,,,1,,,,,,,,,
YADS-V,YRBS,YRBS_8,,,,,,1,,,,,,,,,
YADS-V,YRBS,YRBS_9,,,,,,,1,,,,,,,,1
YADS-V,YRBS,YRBS_10,,,,,,,1,,,,,,,,1
YADS-V,YRBS,YRBS_11,,,,,,,1,,,,,,,,1
YADS-V,YRBS,YRBS_12,,,,,,,,1,,,,,,,1
YADS-V,YRBS,YRBS_13,,,,,,,,1,,,,,,,1
YADS-V,YRBS,YRBS_14,,,,,,,,1,,,,,,,1
YADS-V,YRBS,YRBS_15,,,,,,,,1,,,,,,,1
YADS-V,YRBS,YRBS_16,,,,,,,,,1,,,,,,
YADS-V,YRBS,YRBS_17,,,,,,,,,1,,,,,,
YADS-V,YRBS,YRBS_18,,,,,,,,,1,,,,,,
YADS-V,YRBS,YRBS_19,,,,,,,,,,1,,,,,
YADS-V,YRBS,YRBS_20,,,,,,,,,,,1,,,,1
YADS-V,YRBS,YRBS_21,,,,,,,,,,,1,,,,1
YADS-V,YRBS,YRBS_22,,,,,,,,,,,1,,,,1
YADS-V,YRBS,YRBS_23,,,,,,,,,,,,1,,,1
YADS-V,YRBS,YRBS_24,,,,,,,,,,,,1,,,1
YADS-V,YRBS,YRBS_25,,,,,,,,,,,,1,,,1
YADS-V,YRBS,YRBS_26,,,,,,,,,,,,1,,,1
YADS-V,YRBS,YRBS_27,,,,,,,,,,,,1,,,1
YADS-V,YRBS,YRBS_28,,,,,,,,,,,,1,,,1
YADS-V,YRBS,YRBS_29,,,,,,,,,,,,1,,,1
YADS-V,YRBS,YRBS_30,,,,,,,,,,,,,1,,
YADS-V,YRBS,YRBS_31,,,,,,,,,,,,,,1,1
YADS-V,YRBS,YRBS_32,,,,,,,,,,,,,,1,1
YADS-V,YRBS,YRBS_33,,,,,,,,,,,,,,1,1
YADS-V,YRBS,YRBS_34,,,,,,,,,,,,,,1,1
YADS-V,YRBS,YRBS_35,,,,,,,,,,,,,,1,1
YADS-V,YRBS,YRBS_36,,,,,,,,,,,,,,1,1
YADS-V,YRBS,YRBS_37,,,,,,,,,,,,,,1,1
